Title,Country,IMDb
Inception,United States,8.8
Inception,United Kingdom,8.8
The Matrix,United States,8.7
Avengers: Infinity War,United States,8.5
Back to the Future,United States,8.5
"The Good, the Bad and the Ugly",Italy,8.8
"The Good, the Bad and the Ugly",Spain,8.8
"The Good, the Bad and the Ugly",West Germany,8.8
Spider-Man: Into the Spider-Verse,United States,8.4
The Pianist,United Kingdom,8.5
The Pianist,France,8.5
The Pianist,Poland,8.5
The Pianist,Germany,8.5
Django Unchained,United States,8.4
Raiders of the Lost Ark,United States,8.4
Inglourious Basterds,Germany,8.3
Inglourious Basterds,United States,8.3
Taxi Driver,United States,8.3
3 Idiots,India,8.4
Pan's Labyrinth,Mexico,8.2
Pan's Labyrinth,Spain,8.2
Room,Ireland,8.1
Room,Canada,8.1
Room,United Kingdom,8.1
Room,United States,8.1
Monty Python and the Holy Grail,United Kingdom,8.2
Once Upon a Time in the West,Italy,8.5
Once Upon a Time in the West,United States,8.5
Indiana Jones and the Last Crusade,United States,8.2
Groundhog Day,United States,8.0
The King's Speech,United Kingdom,8.0
The King's Speech,United States,8.0
The King's Speech,Australia,8.0
Her,United States,8.0
There Will Be Blood,United States,8.2
The Social Network,United States,7.7
Dallas Buyers Club,United States,8.0
The Perks of Being a Wallflower,United States,8.0
Life of Brian,United Kingdom,8.1
Ex Machina,United Kingdom,7.7
Ex Machina,United States,7.7
Silver Linings Playbook,United States,7.7
District 9,South Africa,7.9
District 9,United States,7.9
District 9,New Zealand,7.9
District 9,Canada,7.9
The Irishman,United States,7.9
Moon,United Kingdom,7.9
Moon,United States,7.9
Marriage Story,United Kingdom,8.0
Marriage Story,United States,8.0
Drive,United States,7.8
Train to Busan,South Korea,7.5
Incredibles 2,United States,7.6
Dangal,India,8.4
Klaus,Spain,8.2
Minority Report,United States,7.6
Mystic River,United States,7.9
Mystic River,Australia,7.9
Like Stars on Earth,India,8.4
Ferris Bueller's Day Off,United States,7.8
Despicable Me,United States,7.6
Despicable Me,France,7.6
Hell or High Water,United States,7.6
Sin City,United States,8.0
Ip Man,Hong Kong,8.0
Ip Man,China,8.0
Indiana Jones and the Temple of Doom,United States,7.6
The Theory of Everything,United Kingdom,7.7
The Theory of Everything,Japan,7.7
The Theory of Everything,United States,7.7
The Pursuit of Happyness,United States,8.0
Senna,United Kingdom,8.5
Senna,France,8.5
Senna,United States,8.5
Scott Pilgrim vs. the World,United States,7.5
Scott Pilgrim vs. the World,United Kingdom,7.5
Scott Pilgrim vs. the World,Canada,7.5
