Title,Directors,IMDb
Inception,Christopher Nolan,8.8
The Matrix,Lana Wachowski,8.7
The Matrix,Lilly Wachowski,8.7
Avengers: Infinity War,Anthony Russo,8.5
Avengers: Infinity War,Joe Russo,8.5
Back to the Future,Robert Zemeckis,8.5
"The Good, the Bad and the Ugly",Sergio Leone,8.8
Spider-Man: Into the Spider-Verse,Bob Persichetti,8.4
Spider-Man: Into the Spider-Verse,Peter Ramsey,8.4
Spider-Man: Into the Spider-Verse,Rodney Rothman,8.4
The Pianist,Roman Polanski,8.5
Django Unchained,Quentin Tarantino,8.4
Raiders of the Lost Ark,Steven Spielberg,8.4
Inglourious Basterds,Quentin Tarantino,8.3
Taxi Driver,Martin Scorsese,8.3
3 Idiots,Rajkumar Hirani,8.4
Pan's Labyrinth,Guillermo del Toro,8.2
Room,Lenny Abrahamson,8.1
Monty Python and the Holy Grail,Terry Gilliam,8.2
Monty Python and the Holy Grail,Terry Jones,8.2
Once Upon a Time in the West,Sergio Leone,8.5
Indiana Jones and the Last Crusade,Steven Spielberg,8.2
Groundhog Day,Harold Ramis,8.0
The King's Speech,Tom Hooper,8.0
Her,Spike Jonze,8.0
There Will Be Blood,Paul Thomas Anderson,8.2
The Social Network,David Fincher,7.7
Dallas Buyers Club,Jean-Marc Vallée,8.0
The Perks of Being a Wallflower,Stephen Chbosky,8.0
Life of Brian,Terry Jones,8.1
Ex Machina,Alex Garland,7.7
Silver Linings Playbook,David O. Russell,7.7
District 9,Neill Blomkamp,7.9
The Irishman,Martin Scorsese,7.9
Moon,Duncan Jones,7.9
Marriage Story,Noah Baumbach,8.0
Drive,Nicolas Winding Refn,7.8
Train to Busan,Sang-ho Yeon,7.5
Incredibles 2,Brad Bird,7.6
Dangal,Nitesh Tiwari,8.4
Klaus,Sergio Pablos,8.2
Klaus,Carlos Martínez López,8.2
Minority Report,Steven Spielberg,7.6
Mystic River,Clint Eastwood,7.9
Like Stars on Earth,Aamir Khan,8.4
Like Stars on Earth,Amole Gupte,8.4
Ferris Bueller's Day Off,John Hughes,7.8
Despicable Me,Pierre Coffin,7.6
Despicable Me,Chris Renaud,7.6
