Title,Genres,IMDb,Directors,Country,Language
Inception,Action,8.8,['Christopher Nolan'],"['United States', 'United Kingdom']","['English', 'Japanese', 'French']"
Inception,Adventure,8.8,['Christopher Nolan'],"['United States', 'United Kingdom']","['English', 'Japanese', 'French']"
Inception,Sci-Fi,8.8,['Christopher Nolan'],"['United States', 'United Kingdom']","['English', 'Japanese', 'French']"
Inception,Thriller,8.8,['Christopher Nolan'],"['United States', 'United Kingdom']","['English', 'Japanese', 'French']"
The Matrix,Action,8.7,"['Lana Wachowski', 'Lilly Wachowski']",['United States'],['English']
The Matrix,Sci-Fi,8.7,"['Lana Wachowski', 'Lilly Wachowski']",['United States'],['English']
Avengers: Infinity War,Action,8.5,"['Anthony Russo', 'Joe Russo']",['United States'],['English']
Avengers: Infinity War,Adventure,8.5,"['Anthony Russo', 'Joe Russo']",['United States'],['English']
Avengers: Infinity War,Sci-Fi,8.5,"['Anthony Russo', 'Joe Russo']",['United States'],['English']
Back to the Future,Adventure,8.5,['Robert Zemeckis'],['United States'],['English']
Back to the Future,Comedy,8.5,['Robert Zemeckis'],['United States'],['English']
Back to the Future,Sci-Fi,8.5,['Robert Zemeckis'],['United States'],['English']
"The Good, the Bad and the Ugly",Western,8.8,['Sergio Leone'],"['Italy', 'Spain', 'West Germany']",['Italian']
Spider-Man: Into the Spider-Verse,Animation,8.4,"['Bob Persichetti', 'Peter Ramsey', 'Rodney Rothman']",['United States'],"['English', 'Spanish']"
Spider-Man: Into the Spider-Verse,Action,8.4,"['Bob Persichetti', 'Peter Ramsey', 'Rodney Rothman']",['United States'],"['English', 'Spanish']"
Spider-Man: Into the Spider-Verse,Adventure,8.4,"['Bob Persichetti', 'Peter Ramsey', 'Rodney Rothman']",['United States'],"['English', 'Spanish']"
Spider-Man: Into the Spider-Verse,Family,8.4,"['Bob Persichetti', 'Peter Ramsey', 'Rodney Rothman']",['United States'],"['English', 'Spanish']"
Spider-Man: Into the Spider-Verse,Sci-Fi,8.4,"['Bob Persichetti', 'Peter Ramsey', 'Rodney Rothman']",['United States'],"['English', 'Spanish']"
The Pianist,Biography,8.5,['Roman Polanski'],"['United Kingdom', 'France', 'Poland', 'Germany']","['English', 'German', 'Russian']"
The Pianist,Drama,8.5,['Roman Polanski'],"['United Kingdom', 'France', 'Poland', 'Germany']","['English', 'German', 'Russian']"
The Pianist,Music,8.5,['Roman Polanski'],"['United Kingdom', 'France', 'Poland', 'Germany']","['English', 'German', 'Russian']"
The Pianist,War,8.5,['Roman Polanski'],"['United Kingdom', 'France', 'Poland', 'Germany']","['English', 'German', 'Russian']"
Django Unchained,Drama,8.4,['Quentin Tarantino'],['United States'],"['English', 'German', 'French', 'Italian']"
Django Unchained,Western,8.4,['Quentin Tarantino'],['United States'],"['English', 'German', 'French', 'Italian']"
Raiders of the Lost Ark,Action,8.4,['Steven Spielberg'],['United States'],"['English', 'German', 'Hebrew', 'Spanish', 'Arabic', 'Nepali']"
Raiders of the Lost Ark,Adventure,8.4,['Steven Spielberg'],['United States'],"['English', 'German', 'Hebrew', 'Spanish', 'Arabic', 'Nepali']"
Inglourious Basterds,Adventure,8.3,['Quentin Tarantino'],"['Germany', 'United States']","['English', 'German', 'French', 'Italian']"
Inglourious Basterds,Drama,8.3,['Quentin Tarantino'],"['Germany', 'United States']","['English', 'German', 'French', 'Italian']"
Inglourious Basterds,War,8.3,['Quentin Tarantino'],"['Germany', 'United States']","['English', 'German', 'French', 'Italian']"
Taxi Driver,Crime,8.3,['Martin Scorsese'],['United States'],"['English', 'Spanish']"
Taxi Driver,Drama,8.3,['Martin Scorsese'],['United States'],"['English', 'Spanish']"
3 Idiots,Comedy,8.4,['Rajkumar Hirani'],['India'],"['Hindi', 'English']"
3 Idiots,Drama,8.4,['Rajkumar Hirani'],['India'],"['Hindi', 'English']"
Pan's Labyrinth,Drama,8.2,['Guillermo del Toro'],"['Mexico', 'Spain']",['Spanish']
Pan's Labyrinth,Fantasy,8.2,['Guillermo del Toro'],"['Mexico', 'Spain']",['Spanish']
Pan's Labyrinth,War,8.2,['Guillermo del Toro'],"['Mexico', 'Spain']",['Spanish']
Room,Drama,8.1,['Lenny Abrahamson'],"['Ireland', 'Canada', 'United Kingdom', 'United States']",['English']
Room,Thriller,8.1,['Lenny Abrahamson'],"['Ireland', 'Canada', 'United Kingdom', 'United States']",['English']
Monty Python and the Holy Grail,Adventure,8.2,"['Terry Gilliam', 'Terry Jones']",['United Kingdom'],"['English', 'French', 'Latin']"
Monty Python and the Holy Grail,Comedy,8.2,"['Terry Gilliam', 'Terry Jones']",['United Kingdom'],"['English', 'French', 'Latin']"
Monty Python and the Holy Grail,Fantasy,8.2,"['Terry Gilliam', 'Terry Jones']",['United Kingdom'],"['English', 'French', 'Latin']"
Once Upon a Time in the West,Western,8.5,['Sergio Leone'],"['Italy', 'United States']","['Italian', 'English', 'Spanish']"
Indiana Jones and the Last Crusade,Action,8.2,['Steven Spielberg'],['United States'],"['English', 'German', 'Greek', 'Arabic']"
Indiana Jones and the Last Crusade,Adventure,8.2,['Steven Spielberg'],['United States'],"['English', 'German', 'Greek', 'Arabic']"
Groundhog Day,Comedy,8.0,['Harold Ramis'],['United States'],"['English', 'French', 'Italian']"
Groundhog Day,Fantasy,8.0,['Harold Ramis'],['United States'],"['English', 'French', 'Italian']"
Groundhog Day,Romance,8.0,['Harold Ramis'],['United States'],"['English', 'French', 'Italian']"
The King's Speech,Biography,8.0,['Tom Hooper'],"['United Kingdom', 'United States', 'Australia']",['English']
The King's Speech,Drama,8.0,['Tom Hooper'],"['United Kingdom', 'United States', 'Australia']",['English']
The King's Speech,History,8.0,['Tom Hooper'],"['United Kingdom', 'United States', 'Australia']",['English']
Her,Drama,8.0,['Spike Jonze'],['United States'],['English']
