Title,Language,IMDb
Inception,English,8.8
Inception,Japanese,8.8
Inception,French,8.8
The Matrix,English,8.7
Avengers: Infinity War,English,8.5
Back to the Future,English,8.5
"The Good, the Bad and the Ugly",Italian,8.8
Spider-Man: Into the Spider-Verse,English,8.4
Spider-Man: Into the Spider-Verse,Spanish,8.4
The Pianist,English,8.5
The Pianist,German,8.5
The Pianist,Russian,8.5
Django Unchained,English,8.4
Django Unchained,German,8.4
Django Unchained,French,8.4
Django Unchained,Italian,8.4
Raiders of the Lost Ark,English,8.4
Raiders of the Lost Ark,German,8.4
Raiders of the Lost Ark,Hebrew,8.4
Raiders of the Lost Ark,Spanish,8.4
Raiders of the Lost Ark,Arabic,8.4
Raiders of the Lost Ark,Nepali,8.4
Inglourious Basterds,English,8.3
Inglourious Basterds,German,8.3
Inglourious Basterds,French,8.3
Inglourious Basterds,Italian,8.3
Taxi Driver,English,8.3
Taxi Driver,Spanish,8.3
3 Idiots,Hindi,8.4
3 Idiots,English,8.4
Pan's Labyrinth,Spanish,8.2
Room,English,8.1
Monty Python and the Holy Grail,English,8.2
Monty Python and the Holy Grail,French,8.2
Monty Python and the Holy Grail,Latin,8.2
Once Upon a Time in the West,Italian,8.5
Once Upon a Time in the West,English,8.5
Once Upon a Time in the West,Spanish,8.5
Indiana Jones and the Last Crusade,English,8.2
Indiana Jones and the Last Crusade,German,8.2
Indiana Jones and the Last Crusade,Greek,8.2
Indiana Jones and the Last Crusade,Arabic,8.2
Groundhog Day,English,8.0
Groundhog Day,French,8.0
Groundhog Day,Italian,8.0
The King's Speech,English,8.0
Her,English,8.0
There Will Be Blood,English,8.2
There Will Be Blood,American Sign Language,8.2
The Social Network,English,7.7
The Social Network,French,7.7
Dallas Buyers Club,English,8.0
Dallas Buyers Club,Japanese,8.0
The Perks of Being a Wallflower,English,8.0
Life of Brian,English,8.1
Life of Brian,Latin,8.1
Ex Machina,English,7.7
Silver Linings Playbook,English,7.7
District 9,English,7.9
District 9,Nyanja,7.9
District 9,Afrikaans,7.9
District 9,Zulu,7.9
District 9,Xhosa,7.9
District 9,Southern Sotho,7.9
The Irishman,English,7.9
The Irishman,Italian,7.9
The Irishman,Latin,7.9
The Irishman,Spanish,7.9
The Irishman,German,7.9
Moon,English,7.9
Moon,Spanish,7.9
Marriage Story,English,8.0
Marriage Story,Spanish,8.0
Drive,English,7.8
Drive,Spanish,7.8
Train to Busan,Korean,7.5
Train to Busan,Hawaiian,7.5
Incredibles 2,English,7.6
Dangal,Hindi,8.4
Klaus,English,8.2
Klaus,Saami,8.2
Minority Report,English,7.6
Minority Report,Swedish,7.6
Mystic River,English,7.9
Like Stars on Earth,Hindi,8.4
Like Stars on Earth,English,8.4
Ferris Bueller's Day Off,English,7.8
Ferris Bueller's Day Off,German,7.8
Despicable Me,English,7.6
Hell or High Water,English,7.6
Sin City,English,8.0
Ip Man,Cantonese,8.0
Ip Man,Mandarin,8.0
Ip Man,Japanese,8.0
Indiana Jones and the Temple of Doom,English,7.6
Indiana Jones and the Temple of Doom,Sinhalese,7.6
Indiana Jones and the Temple of Doom,Hindi,7.6
The Theory of Everything,English,7.7
The Theory of Everything,French,7.7
The Pursuit of Happyness,English,8.0
The Pursuit of Happyness,Cantonese,8.0
Senna,English,8.5
Senna,Portuguese,8.5
Senna,French,8.5
Senna,Japanese,8.5
Scott Pilgrim vs. the World,English,7.5
Magnolia,English,8.0
Magnolia,German,8.0
Magnolia,French,8.0
The Hateful Eight,English,7.8
The Hateful Eight,Spanish,7.8
The Hateful Eight,French,7.8
The Artist,English,7.9
The Artist,French,7.9
Moonlight,English,7.4
Back to the Future Part II,English,7.8
Willy Wonka & the Chocolate Factory,English,7.8
Willy Wonka & the Chocolate Factory,French,7.8
Willy Wonka & the Chocolate Factory,German,7.8
Willy Wonka & the Chocolate Factory,Italian,7.8
What's Eating Gilbert Grape,English,7.8
The Curious Case of Benjamin Button,English,7.8
The Curious Case of Benjamin Button,Russian,7.8
The Curious Case of Benjamin Button,French,7.8
A Silent Voice,Japanese,8.2
A Silent Voice,Japanese Sign Language,8.2
Snowpiercer,English,7.1
Hugo,English,7.5
Ant-Man and the Wasp,English,7.1
Ant-Man and the Wasp,Spanish,7.1
As Good as It Gets,English,7.7
Back to the Future Part III,English,7.4
Searching for Sugar Man,English,8.2
Road to Perdition,English,7.7
To All the Boys I've Loved Before,English,7.2
Molly's Game,English,7.4
Blackfish,English,8.1
Blackfish,Spanish,8.1
El Camino: A Breaking Bad Movie,English,7.4
The Invisible Guest,Spanish,8.1
Song of the Sea,English,8.1
Song of the Sea,Irish,8.1
End of Watch,English,7.6
End of Watch,Spanish,7.6
The Evil Dead,English,7.5
About Time,English,7.8
Kung Fu Hustle,Cantonese,7.7
Kung Fu Hustle,Mandarin,7.7
Blue Is the Warmest Color,French,7.7
Blue Is the Warmest Color,English,7.7
Y Tu Mamá También,Spanish,7.6
The Naked Gun: From the Files of Police Squad!,English,7.6
Mud,English,7.4
The Edge of Seventeen,English,7.3
Philadelphia,English,7.7
Lagaan: Once Upon a Time in India,Hindi,8.1
Lagaan: Once Upon a Time in India,English,8.1
Lagaan: Once Upon a Time in India,Awadhi,8.1
Lagaan: Once Upon a Time in India,Urdu,8.1
Tucker and Dale vs. Evil,English,7.5
The Matrix Reloaded,English,7.2
The Matrix Reloaded,French,7.2
The Two Popes,English,7.6
The Two Popes,Spanish,7.6
The Two Popes,Italian,7.6
The Two Popes,Latin,7.6
The Two Popes,Portuguese,7.6
The Two Popes,French,7.6
The Two Popes,German,7.6
The Last Samurai,English,7.7
The Last Samurai,Japanese,7.7
