Title,Platform,Available
Inception,Netflix,1
The Matrix,Netflix,1
Avengers: Infinity War,Netflix,1
Back to the Future,Netflix,1
"The Good, the Bad and the Ugly",Netflix,1
Spider-Man: Into the Spider-Verse,Netflix,1
The Pianist,Netflix,1
Django Unchained,Netflix,1
Raiders of the Lost Ark,Netflix,1
Inglourious Basterds,Netflix,1
Taxi Driver,Netflix,1
3 Idiots,Netflix,1
Pan's Labyrinth,Netflix,1
Room,Netflix,1
Monty Python and the Holy Grail,Netflix,1
Once Upon a Time in the West,Netflix,1
Indiana Jones and the Last Crusade,Netflix,1
Groundhog Day,Netflix,1
The King's Speech,Netflix,1
Her,Netflix,1
There Will Be Blood,Netflix,1
The Social Network,Netflix,1
Dallas Buyers Club,Netflix,1
The Perks of Being a Wallflower,Netflix,1
Life of Brian,Netflix,1
Ex Machina,Netflix,1
Silver Linings Playbook,Netflix,1
District 9,Netflix,1
The Irishman,Netflix,1
Moon,Netflix,1
Marriage Story,Netflix,1
Drive,Netflix,1
Train to Busan,Netflix,1
Incredibles 2,Netflix,1
Dangal,Netflix,1
Klaus,Netflix,1
Minority Report,Netflix,1
Mystic River,Netflix,1
Like Stars on Earth,Netflix,1
Ferris Bueller's Day Off,Netflix,1
Despicable Me,Netflix,1
Hell or High Water,Netflix,1
Sin City,Netflix,1
Ip Man,Netflix,1
Indiana Jones and the Temple of Doom,Netflix,1
The Theory of Everything,Netflix,1
The Pursuit of Happyness,Netflix,1
Senna,Netflix,1
Scott Pilgrim vs. the World,Netflix,1
Magnolia,Netflix,1
The Hateful Eight,Netflix,1
The Artist,Netflix,1
Moonlight,Netflix,1
Back to the Future Part II,Netflix,1
Willy Wonka & the Chocolate Factory,Netflix,1
What's Eating Gilbert Grape,Netflix,1
The Curious Case of Benjamin Button,Netflix,1
A Silent Voice,Netflix,1
Snowpiercer,Netflix,1
Hugo,Netflix,1
Ant-Man and the Wasp,Netflix,1
As Good as It Gets,Netflix,1
Back to the Future Part III,Netflix,1
Searching for Sugar Man,Netflix,1
Road to Perdition,Netflix,1
To All the Boys I've Loved Before,Netflix,1
Molly's Game,Netflix,1
Blackfish,Netflix,1
El Camino: A Breaking Bad Movie,Netflix,1
The Invisible Guest,Netflix,1
Song of the Sea,Netflix,1
End of Watch,Netflix,1
The Evil Dead,Netflix,1
About Time,Netflix,1
Kung Fu Hustle,Netflix,1
Blue Is the Warmest Color,Netflix,1
Y Tu Mamá También,Netflix,1
The Naked Gun: From the Files of Police Squad!,Netflix,1
Mud,Netflix,1
The Edge of Seventeen,Netflix,1
Philadelphia,Netflix,1
Lagaan: Once Upon a Time in India,Netflix,1
Tucker and Dale vs. Evil,Netflix,1
